,Sha1ID,Malicious,Day count Mean,Day count STD,Max Day count,Min Day count,Size,WebFileUrlDomain,DTW k-mean,DTW k-median,DTW k-STD,DTW k-Malicious(%),Euclidean k-mean,Euclidean k-median,Euclidean k-STD,Euclidean k-Malicious(%)
113,611379,True,0.08333333333333333,0.2886751345948129,1.0,0.0,783360,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
114,613005,True,0.08333333333333333,0.2886751345948129,1.0,0.0,33733,aol.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
115,616725,True,0.5,0.6741998624632421,2.0,0.0,373248,yandex.ru,1.0,1.0,0.0,100.0,1.751374668194941,1.7320508075688772,0.2569437777771511,93.33333333333331
116,623180,True,0.08333333333333333,0.2886751345948129,1.0,0.0,253952,mailsbuy.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
117,625923,True,0.08333333333333333,0.2886751345948129,1.0,0.0,65024,kpnmail.nl,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
118,629887,True,0.08333333333333333,0.2886751345948129,1.0,0.0,39005,excite.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
119,633980,True,0.08333333333333333,0.2886751345948129,1.0,0.0,10451968,qq.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
120,638633,True,0.25,0.621581560508061,2.0,0.0,301699,tiscali.co.uk,0.5333333333333333,1.0,0.4988876515698588,100.0,1.1151948040905242,1.4142135623730951,0.4722363980001597,100.0
121,639115,True,0.08333333333333333,0.2886751345948129,1.0,0.0,783360,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
122,639592,True,0.08333333333333333,0.2886751345948129,1.0,0.0,13824,datacloudmail.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
123,641015,True,0.16666666666666666,0.5773502691896257,2.0,0.0,1105920,ymail.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
124,643841,True,0.08333333333333333,0.2886751345948129,1.0,0.0,857088,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
125,650603,True,0.08333333333333333,0.2886751345948129,1.0,0.0,2292572,free.fr,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
126,650821,True,0.08333333333333333,0.2886751345948129,1.0,0.0,667648,free.fr,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
127,658877,True,0.08333333333333333,0.2886751345948129,1.0,0.0,166912,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
128,662885,True,0.16666666666666666,0.38924947208076144,1.0,0.0,74240,freenet.de,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
129,675172,True,0.08333333333333333,0.2886751345948129,1.0,0.0,63372,interia.pl,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
130,676328,True,0.08333333333333333,0.2886751345948129,1.0,0.0,6782074,attachmail.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
131,681317,True,0.75,0.7537783614444091,2.0,0.0,202752,yandex.ru,1.6666666666666667,2.0,0.4714045207910317,100.0,2.3184171886509586,2.449489742783178,0.15792953925022124,66.66666666666667
132,694183,True,0.08333333333333333,0.2886751345948129,1.0,0.0,419328,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
133,695954,True,0.08333333333333333,0.2886751345948129,1.0,0.0,857088,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
134,696563,True,0.08333333333333333,0.2886751345948129,1.0,0.0,881,earthlink.net,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
135,697818,True,0.08333333333333333,0.2886751345948129,1.0,0.0,783360,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
136,702168,True,0.08333333333333333,0.2886751345948129,1.0,0.0,857088,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
137,703146,True,0.08333333333333333,0.2886751345948129,1.0,0.0,298657,email-hack.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
138,709801,True,0.8333333333333334,1.1146408580454257,4.0,0.0,637440,freenet.de,1.1333333333333333,1.0,0.7180219742846006,86.66666666666669,2.2792626287031004,2.449489742783178,0.4527271467423093,46.66666666666666
139,725313,True,0.08333333333333333,0.2886751345948129,1.0,0.0,93589,qq.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
140,728887,True,0.08333333333333333,0.2886751345948129,1.0,0.0,5214885,attachmail.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
141,732933,True,0.08333333333333333,0.2886751345948129,1.0,0.0,832504,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
142,740903,True,0.08333333333333333,0.2886751345948129,1.0,0.0,119984,walla.co.il,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
143,755750,True,0.08333333333333333,0.2886751345948129,1.0,0.0,561,networksolutionsemail.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
144,757611,True,0.16666666666666666,0.38924947208076144,1.0,0.0,902656,qq.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
145,758636,True,0.08333333333333333,0.2886751345948129,1.0,0.0,27170,netcourrier.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
146,781781,True,0.08333333333333333,0.2886751345948129,1.0,0.0,579302,icloud.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
147,781880,True,0.08333333333333333,0.2886751345948129,1.0,0.0,561288,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
148,782208,True,0.08333333333333333,0.2886751345948129,1.0,0.0,145408,aol.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
149,785793,True,0.08333333333333333,0.2886751345948129,1.0,0.0,857088,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
150,788206,True,0.08333333333333333,0.2886751345948129,1.0,0.0,1839682,datacloudmail.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
151,795173,True,0.08333333333333333,0.2886751345948129,1.0,0.0,5014,tiscali.it,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
152,798936,True,0.16666666666666666,0.38924947208076144,1.0,0.0,9776203,qq.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
153,800657,True,0.08333333333333333,0.2886751345948129,1.0,0.0,796089,ymail.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
